source_ref,source_type,source_id,title,language,status,approval,text_available,storage,text_size_chars,estimated_chunks,duplicate_group,include,exclude_reason,raw_sha256,content_hash_db,text_sha256
kos:doc_01e42175ca5acc08,kos_source_document,doc_01e42175ca5acc08,Национальный День Вина 2025,ru,active,active,true,postgres:kos_source_documents.normalized_text,1257,2,,include,,,ac2de49651ea3a3eeaf674e145ed8a6154f428ac9251e97235e49b570b3490f2,ac2de49651ea3a3eeaf674e145ed8a6154f428ac9251e97235e49b570b3490f2
kos:doc_022b93c95bfb5488,kos_source_document,doc_022b93c95bfb5488,Brunch Exclusiv la Carlevana Winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,664,1,,include,,,4bd77894596972ea0a9805e85ece5f530c974aa721b9d3e52ae0f77739f09733,4bd77894596972ea0a9805e85ece5f530c974aa721b9d3e52ae0f77739f09733
kos:doc_038105224f857fd9,kos_source_document,doc_038105224f857fd9,https://carlevana.md/vinul-moldovenesc/,auto,active,active,true,postgres:kos_source_documents.normalized_text,11323,1,,include,,,,e418dc930f8d16d6f594e76cd7e2a2ae2497da140ead3c54c85e9afe58e52b96
kos:doc_045106b73fe32975,kos_source_document,doc_045106b73fe32975,Muscat Ottonel: grapes and wine,ru,active,active,true,postgres:kos_source_documents.normalized_text,3641,3,,include,,,772c9656471265ede0fcfde6df77846ead4b8b8517a3e14d2347370a33199747,772c9656471265ede0fcfde6df77846ead4b8b8517a3e14d2347370a33199747
kos:doc_04b5b76b083a298e,kos_source_document,doc_04b5b76b083a298e,"Orange wine: технология производства, исторический экскурс, известные марки",ru,active,active,true,postgres:kos_source_documents.normalized_text,4060,4,,include,,,e64cfe9b4fb1fbd7e31349d2a450d081d36b0f6fa64f5e172266707280ed0298,e64cfe9b4fb1fbd7e31349d2a450d081d36b0f6fa64f5e172266707280ed0298
kos:doc_05403951a5374bd7,kos_source_document,doc_05403951a5374bd7,https://carlevana.md/ru/rhein-riesling-vinograd-i-vino/,auto,active,active,true,postgres:kos_source_documents.normalized_text,8263,1,,include,,,,d21a1b4bb7a19494b1ec4e0209480d883b54631703307143e8e8add2cfb91953
kos:doc_0548ee95e6aba9c5,kos_source_document,doc_0548ee95e6aba9c5,Vinul moldovenesc - Carlevana Winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,5758,6,,include,,,047c36b9d2042b139a929c04192cc04ad016926f511a21639c9c31beab52b1ef,047c36b9d2042b139a929c04192cc04ad016926f511a21639c9c31beab52b1ef
kos:doc_076abd045fc1350f,kos_source_document,doc_076abd045fc1350f,https://cricova.md/ro/despre-noi/istorie,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_09b29ae1215ff5af,kos_source_document,doc_09b29ae1215ff5af,Виноград и вино Фетяска Регала,ru,active,active,true,postgres:kos_source_documents.normalized_text,3339,3,,include,,,644bf0772d728add9bb1a6fc32e24b0715db17582b054b0ce5849b5a087b33ec,644bf0772d728add9bb1a6fc32e24b0715db17582b054b0ce5849b5a087b33ec
kos:doc_0dd1855c99bd5f08,kos_source_document,doc_0dd1855c99bd5f08,https://cricova.md/ro/vinuri/vinuri/national,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_0eba3cf9adfde6e3,kos_source_document,doc_0eba3cf9adfde6e3,Exclusive Brunch at Carlevana Winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,704,1,,include,,,f7a388e4d3c283a81d3f02fc5743416953298f432a01176d140b722889607191,f7a388e4d3c283a81d3f02fc5743416953298f432a01176d140b722889607191
kos:doc_11612b8553e02f26,kos_source_document,doc_11612b8553e02f26,https://cricova.md/ro/beciurile,auto,active,active,true,postgres:kos_source_documents.normalized_text,9681,1,,include,,,,edcd4518964c754fe8a530142ea933803abfa131895f0ea13ce0ccbd258061fc
kos:doc_12c00ac4a709b2c2,kos_source_document,doc_12c00ac4a709b2c2,Cricova - Acasă,ru,active,active,true,postgres:kos_source_documents.normalized_text,997,1,,include,,,a1664332372bd4a9b12ce465427d54d4b4e2bd4390f7c977e9ac1ee394497110,a1664332372bd4a9b12ce465427d54d4b4e2bd4390f7c977e9ac1ee394497110
kos:doc_136b4a49e49f4bc9,kos_source_document,doc_136b4a49e49f4bc9,Gitana Winery – Wine Producer,en,active,active,true,postgres:kos_source_documents.normalized_text,1426,2,,include,,,52b088e91ebf579ad65bb7eff571ade5826088d9b5aabb8f26d9860610c1943a,52b088e91ebf579ad65bb7eff571ade5826088d9b5aabb8f26d9860610c1943a
kos:doc_139d1ca1c61cb7ed,kos_source_document,doc_139d1ca1c61cb7ed,Маршрут авторских вин - Moldova Travel,ru,active,active,true,postgres:kos_source_documents.normalized_text,2568,3,,include,,,7ee73a09512ef5729fdacce3966a8004d1ca2848c3518552803424c577595e8b,7ee73a09512ef5729fdacce3966a8004d1ca2848c3518552803424c577595e8b
kos:doc_1525a90d9972d043,kos_source_document,doc_1525a90d9972d043,https://carlevana.md/en/creative-evening-with-narine-abgaryan-live-on/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1426,1,,include,,,,5fa62ed7c3420e93531c1aae809df6e0ca1e07df4e3aba75af7e4acf9fb5cfd1
kos:doc_15ad5afc9d1fad9d,kos_source_document,doc_15ad5afc9d1fad9d,National Wine Day 2025,ru,active,active,true,postgres:kos_source_documents.normalized_text,915,1,,include,,,805c766f891283ce68fd05aa502e15055ff229e7798753075af4fbe852cc8607,805c766f891283ce68fd05aa502e15055ff229e7798753075af4fbe852cc8607
kos:doc_1619d3efb540dfe7,kos_source_document,doc_1619d3efb540dfe7,https://carlevana.md/ru/muscat-ottonel-vinograd-i-vino/,auto,active,active,true,postgres:kos_source_documents.normalized_text,7287,1,,include,,,,a2b77149a45a1ce671c373b48c74fc6029f471ae2c439f97202ee16781ec1700
kos:doc_17c0bc935f313647,kos_source_document,doc_17c0bc935f313647,International Cabernet Sauvignon Day - Carlevana winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,1262,2,,include,,,6d61db42908587f13973da8f4dba6e1a6c56a2a0d3e2246766ae19794b8a340b,6d61db42908587f13973da8f4dba6e1a6c56a2a0d3e2246766ae19794b8a340b
kos:doc_17f90b463fd0ab31,kos_source_document,doc_17f90b463fd0ab31,Молдавское вино - Carlevana Winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,5491,5,,include,,,d60053bd31caa15cc40d3404577eaac0e8356d2e429d805faf231088e8aad82e,d60053bd31caa15cc40d3404577eaac0e8356d2e429d805faf231088e8aad82e
kos:doc_19e0ac15a913d67f,kos_source_document,doc_19e0ac15a913d67f,Aurelius,ru,active,active,true,postgres:kos_source_documents.normalized_text,20368,17,1,include,,,418928c275aaee399908dc3e5db5f42433358977db37cef28b44df621346e755,418928c275aaee399908dc3e5db5f42433358977db37cef28b44df621346e755
kos:doc_1a0f1afc0533293f,kos_source_document,doc_1a0f1afc0533293f,Catalog vinuri,ru,active,active,true,postgres:kos_source_documents.normalized_text,2510,2,,include,,,86b4c8fc04f7218a1b84c9f80b49bea5134c108978b1fbbec787d9cfe62def08,86b4c8fc04f7218a1b84c9f80b49bea5134c108978b1fbbec787d9cfe62def08
